IDAT,finalGrps,tay2.Subtype,simplifiedGrps
7810920068_R01C01,SHH_1,SHH_beta,SHH_1
7810920071_R03C02,SHH_1,SHH_beta,SHH_1
7973219015_R01C01,SHH_4,SHH_alpha,SHH_4
7810920080_R05C01,SHH_2,SHH_gamma,SHH_2
7810920077_R01C01,SHH_2,SHH_gamma,SHH_2
7970376002_R01C01,NA,SHH_gamma,NA
7970376002_R03C02,SHH_4,SHH_delta,SHH_4
7970376142_R05C01,SHH_1,SHH_beta,SHH_1
7970368139_R05C01,SHH_1,SHH_beta,SHH_1
8942326039_R01C01,SHH_4,SHH_delta,SHH_4
7970368130_R01C01,SHH_1,SHH_gamma,SHH_1
8942351134_R04C01,SHH_4,SHH_delta,SHH_4
7970376154_R01C01,SHH_3B,SHH_alpha,SHH_3
7970376154_R04C02,SHH_1,SHH_gamma,SHH_1
7970376165_R06C01,SHH_3A,SHH_alpha,SHH_3
7973219015_R05C02,SHH_2,SHH_alpha,SHH_2
7973219045_R03C01,SHH_3B,SHH_alpha,SHH_3
7973219045_R05C02,SHH_1,SHH_beta,SHH_1
7973219034_R03C02,SHH_3B,SHH_alpha,SHH_3
7970376154_R03C01,SHH_4,SHH_delta,SHH_4
7970376154_R05C02,SHH_4,SHH_delta,SHH_4
7973219015_R06C02,SHH_4,SHH_delta,SHH_4
7973219040_R05C01,SHH_4,SHH_delta,SHH_4
7970368106_R01C01,SHH_3C,SHH_alpha,SHH_3
7973219058_R06C02,NA,SHH_alpha,NA
8942334031_R06C01,SHH_2,SHH_gamma,SHH_2
7970376154_R04C01,SHH_4,SHH_delta,SHH_4
9341679019_R03C01,SHH_4,SHH_alpha,SHH_4
7973219015_R05C01,SHH_4,SHH_delta,SHH_4
7810920077_R03C01,SHH_4,SHH_delta,SHH_4
7973219058_R05C01,SHH_2,SHH_gamma,SHH_2
7970376142_R01C01,SHH_3A,SHH_alpha,SHH_3
7970376165_R02C01,SHH_3B,SHH_alpha,SHH_3
7973219018_R05C02,SHH_3A,SHH_alpha,SHH_3
7973219058_R01C02,SHH_2,SHH_gamma,SHH_2
7973219050_R06C02,SHH_4,SHH_delta,SHH_4
7973219058_R02C02,SHH_4,SHH_delta,SHH_4
7973201069_R02C01,SHH_4,SHH_delta,SHH_4
7970376154_R02C02,SHH_4,SHH_delta,SHH_4
9326189023_R05C02,SHH_4,SHH_delta,SHH_4
7970376165_R06C02,SHH_4,SHH_delta,SHH_4
7970376123_R03C02,SHH_4,SHH_alpha,SHH_4
7810920097_R01C01,SHH_3A,SHH_alpha,SHH_3
7973219003_R05C01,SHH_2,SHH_gamma,SHH_2
7970376149_R06C01,SHH_4,SHH_delta,SHH_4
7970368068_R06C01,NA,SHH_alpha,NA
7970376085_R04C02,SHH_1,SHH_beta,SHH_1
7970368069_R06C01,SHH_4,SHH_alpha,SHH_4
