chr,clonality,count,proportion
1,clonal,252,0.0625
1,none,2690,0.6671626984126984
1,subclonal,1090,0.27033730158730157
2,clonal,140,0.04804392587508579
2,none,1857,0.6372683596431022
2,subclonal,917,0.31468771448181193
3,clonal,441,0.1855279764408919
3,none,1116,0.4694993689524611
3,subclonal,820,0.34497265460664706
4,clonal,232,0.0988917306052856
4,none,1212,0.5166240409207161
4,subclonal,902,0.38448422847399827
5,clonal,327,0.1301233585356148
5,none,1491,0.5933147632311978
5,subclonal,695,0.27656187823318745
6,clonal,210,0.0797872340425532
6,none,1313,0.4988601823708207
6,subclonal,1109,0.42135258358662614
7,clonal,122,0.041524846834581346
7,none,2177,0.7409802586793737
7,subclonal,639,0.21749489448604492
8,clonal,334,0.1320680110715698
8,none,1400,0.55357848952155
8,subclonal,795,0.3143534994068802
9,clonal,539,0.2347560975609756
9,none,744,0.3240418118466899
9,subclonal,1013,0.4412020905923345
10,clonal,207,0.1141753998896856
10,none,886,0.4886927744070601
10,subclonal,720,0.3971318257032543
11,clonal,409,0.09147841646164169
11,none,2256,0.5045851040035786
11,subclonal,1806,0.4039364795347797
12,clonal,267,0.09936732415333085
12,none,1574,0.5857834015630815
12,subclonal,846,0.31484927428358767
13,clonal,370,0.2030735455543359
13,none,778,0.4270032930845225
13,subclonal,674,0.3699231613611416
14,clonal,255,0.10764035457999156
14,none,1205,0.5086534402701561
14,subclonal,909,0.38370620514985226
15,clonal,159,0.12947882736156352
15,none,640,0.5211726384364821
15,subclonal,429,0.3493485342019544
16,clonal,292,0.11348620287602021
16,none,1533,0.5958025650991061
16,subclonal,748,0.2907112320248737
17,clonal,460,0.16999260901699925
17,none,1349,0.4985218033998522
17,subclonal,897,0.33148558758314856
18,clonal,212,0.15785554728220402
18,none,662,0.49292628443782577
18,subclonal,469,0.3492181682799702
19,clonal,683,0.18763736263736264
19,none,1989,0.5464285714285714
19,subclonal,968,0.26593406593406593
20,clonal,114,0.06057385759829968
20,none,1317,0.6997874601487779
20,subclonal,451,0.23963868225292242
21,clonal,117,0.12200208550573514
21,none,467,0.4869655891553702
21,subclonal,375,0.3910323253388947
22,clonal,357,0.24401913875598086
22,none,706,0.4825700615174299
22,subclonal,400,0.2734107997265892
23,clonal,924,0.701062215477997
23,none,250,0.18968133535660092
23,subclonal,144,0.10925644916540213
24,clonal,664,1
