category,clonality,number_of_fragments,total_size_bp,mean_size_bp,median_size_bp
1,clonal,165,104059449,630663.327272727,137712
1,none,2,0,0,0
1,subclonal,377,202820786,537986.1697612727,130053
2,clonal,1468,21720853595,14796221.794959169,4826464
2,none,3,0,0,0
2,subclonal,2412,34095199086,14135654.679104473,3548561
3,clonal,3300,68279120280,20690642.509090915,9595580
3,subclonal,3496,72156437948,20639713.371853575,8463746.5
4,clonal,1131,18129528573,16029645.068965528,5796216
4,subclonal,1248,22285870988,17857268.419871785,7336229.5
5,clonal,663,10195840473,15378341.588235296,3489859
5,subclonal,526,10037128147,19081992.674904943,7085748
6,clonal,440,10505172339,23875391.67954545,8876256.5
6,none,1,0,0,0
6,subclonal,190,2755222793,14501172.594736857,4639911.5
7,clonal,259,7554984071,29169822.667953666,15981876
7,subclonal,76,587549109,7730909.32894737,3337997
8,clonal,647,15865728525,24521991.537867084,4099232
8,none,4,0,0,0
8,subclonal,117,905661466,7740696.290598289,3008438
