category,clonality,count,proportion
1,clonal,165,0.30330882352941174
1,none,2,0.003676470588235294
1,subclonal,377,0.6930147058823529
2,clonal,1468,0.3780582024208087
2,none,3,7.725985063095545e-4
2,subclonal,2412,0.6211691990728818
3,clonal,3300,0.4855797527957622
3,subclonal,3496,0.5144202472042377
4,clonal,1131,0.47540983606557374
4,subclonal,1248,0.5245901639344263
5,clonal,663,0.5576114381833474
5,subclonal,526,0.44238856181665265
6,clonal,440,0.6973058637083994
6,none,1,0.001584786053882726
6,subclonal,190,0.3011093502377179
7,clonal,259,0.7731343283582089
7,subclonal,76,0.22686567164179106
8,clonal,647,0.8424479166666666
8,none,4,0.005208333333333333
8,subclonal,117,0.15234375
