hgnc_symbol,affected_region_count,chromosome_count,maximum_sample_count,total_annotation_records,present_in_cancer_gene_census,census_tier,role_in_cancer,tumour_types_somatic,tumour_types_germline,mutation_types
RABEP1,203,1,12,203,TRUE,1,fusion,CMML,,T
PER1,199,1,12,199,TRUE,1,"TSG, fusion","AML, CMML",,T
TP53,199,1,12,199,TRUE,1,"oncogene, TSG, fusion","breast, colorectal, lung, sarcoma, adrenocortical, glioma, Spitzoid tumour, multiple other tumour types","breast, sarcoma, adrenocortical carcinoma, glioma, multiple other tumour types","Mis, N, F, T"
GPS2,197,1,12,197,FALSE,,,,,
USP6,196,1,12,196,TRUE,1,"oncogene, fusion",aneurysmal bone cyst,,T
YWHAE,194,1,12,194,TRUE,1,"TSG, fusion",endometrial stromal sarcoma,,T
GAS7,187,1,12,187,TRUE,1,fusion,AML*,,T
MAP2K4,182,1,12,182,TRUE,1,"oncogene, TSG","pancreatic, breast, colorectal",,"D, Mis, N"
NCOR1,172,1,12,172,TRUE,1,TSG,breast,,"Mis, F, N, O"
PCM1,164,1,6,164,TRUE,1,fusion,"papillary thyroid, CML, MPN",,T
ELF4,163,1,22,163,TRUE,1,"oncogene, TSG, fusion",AML,,T
GPC3,163,1,22,163,TRUE,1,"oncogene, TSG",,Wilms tumour,"D, Mis, N, F, S"
PHF6,163,1,22,163,TRUE,1,TSG,ETP ALL,,"F, N, S, Mis"
FLCN,162,1,12,162,TRUE,1,TSG,,"renal, fibrofolliculomas, trichodiscomas","Mis. N, F"
NRG1,162,1,6,162,TRUE,1,"TSG, fusion",NSCLC,,T
ATP2B3,161,1,22,161,TRUE,1,TSG,adrenal aldosterone producing adenoma,,O
SPECC1,160,1,12,160,TRUE,2,fusion,JMML,,T
FOXO4,159,1,22,159,TRUE,1,"oncogene, TSG, fusion","AL, soft tissue sarcoma",,T
MED12,159,1,22,159,TRUE,1,TSG,"uterine leiomyoma, fibroadenoma, phyllodes tumour",,"Mis, S, O"
NONO,159,1,22,159,TRUE,1,fusion,papillary renal,,T
