chr,clonality,count,proportion
1,clonal,252,0.35195530726256985
1,subclonal,464,0.6480446927374302
2,clonal,140,0.260707635009311
2,subclonal,397,0.7392923649906891
3,clonal,441,0.49550561797752807
3,subclonal,449,0.5044943820224719
4,clonal,232,0.332378223495702
4,subclonal,466,0.667621776504298
5,clonal,327,0.4787701317715959
5,subclonal,356,0.5212298682284041
6,clonal,209,0.289875173370319
6,subclonal,512,0.710124826629681
7,clonal,120,0.3305785123966942
7,none,3,0.008264462809917356
7,subclonal,240,0.6611570247933884
8,clonal,334,0.481962481962482
8,subclonal,359,0.5180375180375181
9,clonal,536,0.49400921658986174
9,subclonal,549,0.5059907834101383
10,clonal,206,0.3759124087591241
10,subclonal,342,0.6240875912408759
11,clonal,409,0.32825040128410915
11,subclonal,837,0.6717495987158909
12,clonal,260,0.38748137108792846
12,none,2,0.0029806259314456036
12,subclonal,409,0.6095380029806259
13,clonal,370,0.5263157894736842
13,subclonal,333,0.47368421052631576
14,clonal,255,0.35664335664335667
14,subclonal,460,0.6433566433566433
15,clonal,159,0.4774774774774775
15,subclonal,174,0.5225225225225225
16,clonal,292,0.4620253164556962
16,none,3,0.004746835443037975
16,subclonal,337,0.5332278481012658
17,clonal,460,0.4946236559139785
17,subclonal,470,0.5053763440860215
18,clonal,212,0.48847926267281105
18,subclonal,222,0.511520737327189
19,clonal,683,0.5928819444444444
19,subclonal,469,0.4071180555555556
20,clonal,114,0.3665594855305466
20,subclonal,197,0.6334405144694534
21,clonal,117,0.4148936170212766
21,subclonal,165,0.5851063829787234
22,clonal,357,0.664804469273743
22,subclonal,180,0.33519553072625696
23,clonal,924,0.9418960244648318
23,none,2,0.0020387359836901123
23,subclonal,55,0.05606523955147808
24,clonal,664,1
