sample,category,fragment_count,total_fragment_size_bp,total_fragment_size_mb
A_LTX021_SU_T1-R1,1,5,3136726,3.136726
A_LTX021_SU_T1-R1,2,11,30353035,30.353035
A_LTX021_SU_T1-R1,3,17,321690499,321.690499
A_LTX021_SU_T1-R1,4,9,55249092,55.249092
A_LTX021_SU_T1-R1,5,3,10333943,10.333943
A_LTX021_SU_T1-R1,6,3,4281414,4.281414
A_LTX021_SU_T1-R1,7,0,0,0
A_LTX021_SU_T1-R1,8,1,238535,0.238535
A_LTX021_SU_T1-R2,1,1,580446,0.580446
A_LTX021_SU_T1-R2,2,9,22946256,22.946256
A_LTX021_SU_T1-R2,3,14,179793030,179.79303
A_LTX021_SU_T1-R2,4,17,181059493,181.059493
A_LTX021_SU_T1-R2,5,6,61994861,61.994861
A_LTX021_SU_T1-R2,6,1,8319392,8.319392
A_LTX021_SU_T1-R2,7,0,0,0
A_LTX021_SU_T1-R2,8,1,238535,0.238535
A_LTX021_SU_T1-R3,1,0,0,0
A_LTX021_SU_T1-R3,2,7,149750063,149.750063
A_LTX021_SU_T1-R3,3,17,421637056,421.637056
A_LTX021_SU_T1-R3,4,6,46700140,46.70014
A_LTX021_SU_T1-R3,5,1,9066134,9.066134
A_LTX021_SU_T1-R3,6,0,0,0
A_LTX021_SU_T1-R3,7,0,0,0
A_LTX021_SU_T1-R3,8,0,0,0
A_LTX021_SU_T1-R4,1,1,143069,0.143069
A_LTX021_SU_T1-R4,2,12,37884525,37.884525
A_LTX021_SU_T1-R4,3,13,250559591,250.559591
A_LTX021_SU_T1-R4,4,10,140081470,140.08147
A_LTX021_SU_T1-R4,5,2,22510349,22.510349
A_LTX021_SU_T1-R4,6,5,19226739,19.226739
A_LTX021_SU_T1-R4,7,0,0,0
A_LTX021_SU_T1-R4,8,2,4124717,4.124717
A_LTX049_SU_T1-R1,1,0,0,0
A_LTX049_SU_T1-R1,2,0,0,0
A_LTX049_SU_T1-R1,3,16,348591297,348.591297
A_LTX049_SU_T1-R1,4,13,161880015,161.880015
A_LTX049_SU_T1-R1,5,2,3875369,3.875369
A_LTX049_SU_T1-R1,6,0,0,0
A_LTX049_SU_T1-R1,7,1,2586731,2.586731
A_LTX049_SU_T1-R1,8,0,0,0
A_LTX049_SU_T1-R2,1,0,0,0
A_LTX049_SU_T1-R2,2,3,4061810,4.06181
A_LTX049_SU_T1-R2,3,26,355657082,355.657082
A_LTX049_SU_T1-R2,4,10,75363038,75.363038
A_LTX049_SU_T1-R2,5,2,2624449,2.624449
A_LTX049_SU_T1-R2,6,1,1167760,1.16776
A_LTX049_SU_T1-R2,7,1,1354051,1.354051
A_LTX049_SU_T1-R2,8,0,0,0
A_LTX055_SU_T1-R1,1,0,0,0
A_LTX055_SU_T1-R1,2,8,8894564,8.894564
A_LTX055_SU_T1-R1,3,36,465420281,465.420281
A_LTX055_SU_T1-R1,4,10,46016074,46.016074
A_LTX055_SU_T1-R1,5,3,14050507,14.050507
A_LTX055_SU_T1-R1,6,4,13885817,13.885817
A_LTX055_SU_T1-R1,7,2,287,2.87e-4
A_LTX055_SU_T1-R1,8,2,146281387,146.281387
A_LTX055_SU_T1-R2,1,0,0,0
A_LTX055_SU_T1-R2,2,1,8299771,8.299771
A_LTX055_SU_T1-R2,3,33,463359857,463.359857
A_LTX055_SU_T1-R2,4,7,55710552,55.710552
A_LTX055_SU_T1-R2,5,4,11652891,11.652891
A_LTX055_SU_T1-R2,6,5,10591738,10.591738
A_LTX055_SU_T1-R2,7,2,146281387,146.281387
A_LTX055_SU_T1-R2,8,0,0,0
A_LTX055_SU_T1-R3,1,0,0,0
A_LTX055_SU_T1-R3,2,3,10174980,10.17498
A_LTX055_SU_T1-R3,3,31,530017954,530.017954
A_LTX055_SU_T1-R3,4,7,45510597,45.510597
A_LTX055_SU_T1-R3,5,3,10351363,10.351363
A_LTX055_SU_T1-R3,6,4,11917250,11.91725
A_LTX055_SU_T1-R3,7,4,146281674,146.281674
A_LTX055_SU_T1-R3,8,0,0,0
A_LTX066_SU_T1-R1,1,3,34182,0.034182
A_LTX066_SU_T1-R1,2,7,4820508,4.820508
A_LTX066_SU_T1-R1,3,6,7142451,7.142451
A_LTX066_SU_T1-R1,4,0,0,0
A_LTX066_SU_T1-R1,5,0,0,0
A_LTX066_SU_T1-R1,6,0,0,0
A_LTX066_SU_T1-R1,7,2,144043979,144.043979
A_LTX066_SU_T1-R1,8,2,552155,0.552155
A_LTX066_SU_T1-R2,1,0,0,0
A_LTX066_SU_T1-R2,2,0,0,0
A_LTX066_SU_T1-R2,3,4,144596134,144.596134
A_LTX066_SU_T1-R2,4,0,0,0
A_LTX066_SU_T1-R2,5,0,0,0
A_LTX066_SU_T1-R2,6,0,0,0
A_LTX066_SU_T1-R2,7,0,0,0
A_LTX066_SU_T1-R2,8,0,0,0
