sample,clonality,count,proportion
A_LTX021_SU_T1-R1,clonal,14,0.2857142857142857
A_LTX021_SU_T1-R1,subclonal,35,0.7142857142857143
A_LTX021_SU_T1-R2,clonal,23,0.46938775510204084
A_LTX021_SU_T1-R2,subclonal,26,0.5306122448979592
A_LTX021_SU_T1-R3,clonal,14,0.45161290322580644
A_LTX021_SU_T1-R3,subclonal,17,0.5483870967741935
A_LTX021_SU_T1-R4,clonal,15,0.3333333333333333
A_LTX021_SU_T1-R4,subclonal,30,0.6666666666666666
A_LTX049_SU_T1-R1,clonal,28,0.875
A_LTX049_SU_T1-R1,subclonal,4,0.125
A_LTX049_SU_T1-R2,clonal,40,0.9302325581395349
A_LTX049_SU_T1-R2,subclonal,3,0.06976744186046512
A_LTX055_SU_T1-R1,clonal,53,0.8153846153846154
A_LTX055_SU_T1-R1,subclonal,12,0.18461538461538463
A_LTX055_SU_T1-R2,clonal,39,0.75
A_LTX055_SU_T1-R2,subclonal,13,0.25
A_LTX055_SU_T1-R3,clonal,42,0.8076923076923077
A_LTX055_SU_T1-R3,subclonal,10,0.19230769230769232
A_LTX066_SU_T1-R1,clonal,4,0.2
A_LTX066_SU_T1-R1,subclonal,16,0.8
A_LTX066_SU_T1-R2,clonal,4,1
A_LTX102_SU_T1-R1,clonal,18,0.8571428571428571
A_LTX102_SU_T1-R1,subclonal,3,0.14285714285714285
A_LTX102_SU_T1-R2,clonal,14,0.7368421052631579
A_LTX102_SU_T1-R2,subclonal,5,0.2631578947368421
A_LTX102_SU_T1-R3,clonal,16,0.6956521739130435
A_LTX102_SU_T1-R3,subclonal,7,0.30434782608695654
A_LTX102_SU_T1-R4,clonal,13,0.6842105263157895
A_LTX102_SU_T1-R4,subclonal,6,0.3157894736842105
A_LTX109_SU_T1-R1,clonal,17,0.7391304347826086
A_LTX109_SU_T1-R1,subclonal,6,0.2608695652173913
A_LTX109_SU_T1-R2,clonal,21,0.75
A_LTX109_SU_T1-R2,subclonal,7,0.25
A_LTX109_SU_T1-R3,clonal,19,0.7916666666666666
A_LTX109_SU_T1-R3,subclonal,5,0.20833333333333334
A_LTX109_SU_T1-R4,clonal,18,0.782608695652174
A_LTX109_SU_T1-R4,subclonal,5,0.21739130434782608
A_LTX109_SU_T1-R5,clonal,36,0.5294117647058824
A_LTX109_SU_T1-R5,subclonal,32,0.47058823529411764
A_LTX121_SU_T1-R1,clonal,58,0.8405797101449275
A_LTX121_SU_T1-R1,subclonal,11,0.15942028985507245
A_LTX121_SU_T1-R2,clonal,37,0.8604651162790697
A_LTX121_SU_T1-R2,subclonal,6,0.13953488372093023
A_LTX125_SU_LN1,subclonal,15,1
A_LTX125_SU_LN2,subclonal,15,1
A_LTX125_SU_T1-R1,subclonal,14,1
A_LTX125_SU_T1-R2,subclonal,23,1
A_LTX143_SU_T1-R1,clonal,53,0.8688524590163934
A_LTX143_SU_T1-R1,subclonal,8,0.13114754098360656
A_LTX143_SU_T1-R2,clonal,29,0.7631578947368421
A_LTX143_SU_T1-R2,subclonal,9,0.23684210526315788
A_LTX177_SU_T1-R1,clonal,3,0.1111111111111111
A_LTX177_SU_T1-R1,subclonal,24,0.8888888888888888
A_LTX177_SU_T1-R2,clonal,4,0.3333333333333333
A_LTX177_SU_T1-R2,subclonal,8,0.6666666666666666
A_LTX210_SU_LN1,clonal,39,0.6724137931034483
A_LTX210_SU_LN1,subclonal,19,0.3275862068965517
A_LTX210_SU_LN2,clonal,32,0.64
A_LTX210_SU_LN2,subclonal,18,0.36
A_LTX210_SU_T1-R1,clonal,37,0.6981132075471698
A_LTX210_SU_T1-R1,subclonal,16,0.3018867924528302
A_LTX210_SU_T1-R2,clonal,29,0.7435897435897436
A_LTX210_SU_T1-R2,subclonal,10,0.2564102564102564
A_LTX210_SU_T1-R3,clonal,39,0.7222222222222222
A_LTX210_SU_T1-R3,subclonal,15,0.2777777777777778
A_LTX221_SU_T1-R1,clonal,4,0.16
A_LTX221_SU_T1-R1,subclonal,21,0.84
A_LTX221_SU_T1-R2,clonal,4,0.21052631578947367
A_LTX221_SU_T1-R2,subclonal,15,0.7894736842105263
A_LTX221_SU_T1-R3,clonal,4,0.26666666666666666
A_LTX221_SU_T1-R3,subclonal,11,0.7333333333333333
A_LTX225_SU_T1-R1,clonal,35,0.8333333333333334
A_LTX225_SU_T1-R1,none,1,0.023809523809523808
A_LTX225_SU_T1-R1,subclonal,6,0.14285714285714285
A_LTX225_SU_T1-R2,clonal,36,0.8571428571428571
A_LTX225_SU_T1-R2,subclonal,6,0.14285714285714285
B_LTX027_SU_T1-R1,clonal,9,0.75
B_LTX027_SU_T1-R1,subclonal,3,0.25
B_LTX027_SU_T1-R2,clonal,5,0.38461538461538464
B_LTX027_SU_T1-R2,subclonal,8,0.6153846153846154
B_LTX033_SU_T1-R1,clonal,60,0.7692307692307693
B_LTX033_SU_T1-R1,subclonal,18,0.23076923076923078
B_LTX033_SU_T1-R2,clonal,90,0.8256880733944955
B_LTX033_SU_T1-R2,subclonal,19,0.1743119266055046
B_LTX033_SU_T1-R3,clonal,89,0.8317757009345794
B_LTX033_SU_T1-R3,subclonal,18,0.16822429906542055
B_LTX033_SU_T1-R4,clonal,58,0.7435897435897436
B_LTX033_SU_T1-R4,subclonal,20,0.2564102564102564
B_LTX034_SU_T1-R1,clonal,19,0.8260869565217391
B_LTX034_SU_T1-R1,subclonal,4,0.17391304347826086
B_LTX034_SU_T1-R2,clonal,22,0.9565217391304348
B_LTX034_SU_T1-R2,subclonal,1,0.043478260869565216
B_LTX038_SU_T1-R1,clonal,34,0.43037974683544306
B_LTX038_SU_T1-R1,subclonal,45,0.569620253164557
B_LTX038_SU_T1-R2,clonal,36,0.4235294117647059
