chr,category,startpos,endpos,sample_count,fragment_count,total_fragment_size_bp
24,8,21154466,21154466,59,59,0
23,8,2699968,57619648,40,40,54919680
24,3,21154466,21154466,39,39,0
23,6,2699968,57619648,32,32,54919680
24,8,14898094,15027529,32,32,129435
24,5,21154466,21154466,32,32,0
24,6,21154466,21154466,31,31,0
11,3,48346961,48388782,30,30,41821
9,3,154795,43861081,28,28,43706286
24,4,21154466,21154466,27,27,0
24,7,21154466,21154466,27,27,0
23,8,65382685,154774707,22,22,89392022
13,3,86369120,115064542,21,21,28695422
23,8,2700157,57619648,19,19,54919491
23,4,2699968,57619648,18,18,54919680
24,5,14898094,15027529,16,16,129435
9,2,154795,43861081,15,15,43706286
24,6,14898094,15027529,15,15,129435
3,3,87100309,90276511,14,14,3176202
18,3,40323497,77927028,14,14,37603531
23,3,2699968,57619648,14,14,54919680
23,7,2699968,57619648,14,14,54919680
24,8,4968368,4968655,14,14,287
6,3,57254927,57512565,13,13,257638
13,3,19600475,80911525,13,13,61311050
23,5,2699968,57619648,13,13,54919680
23,8,65393658,154774707,13,13,89381049
24,2,14898094,15027529,13,13,129435
16,3,46565019,90142087,12,12,43577068
17,3,6115,21198978,12,12,21192863
23,8,2700202,57619648,12,12,54919446
24,2,4968368,4968655,12,12,287
24,7,14898094,15027529,12,12,129435
4,2,3589623,3591069,11,11,1446
9,3,66457127,141070335,11,11,74613208
11,2,114421698,114422003,11,11,305
13,3,67800935,80911525,11,11,13110590
13,2,86369120,115064542,10,10,28695422
13,3,86369120,115010254,10,10,28641134
24,4,14898094,15027529,10,10,129435
24,2,21154466,21154466,10,10,0
3,2,87100309,90276511,9,9,3176202
9,4,154795,43861081,9,9,43706286
11,3,114568942,134856661,9,9,20287719
13,2,19600475,53608632,9,9,34008157
23,7,65382685,154774707,9,9,89392022
24,3,4968368,4968655,9,9,287
24,1,14898094,15027529,9,9,129435
3,2,386247,81698130,8,8,81311883
11,3,114441943,134856661,8,8,20414718
13,3,19600475,80910792,8,8,61310317
18,3,166819,77927028,8,8,77760209
22,3,17055458,51183255,8,8,34127797
23,6,2700157,57619648,8,8,54919491
23,8,96139406,154774707,8,8,58635301
24,8,14898094,15029495,8,8,131401
24,3,15027529,15027529,8,8,0
24,8,21154466,22942897,8,8,1788431
3,3,173507744,191888452,7,7,18380708
5,3,13729714,25190755,7,7,11461041
5,3,177715291,178634672,7,7,919381
5,3,180660259,180687212,7,7,26953
9,2,66457127,141070335,7,7,74613208
11,3,48346961,48388717,7,7,41756
11,3,114421698,114422003,7,7,305
12,3,12879254,17142546,7,7,4263292
12,3,19501256,22606738,7,7,3105482
13,2,60240961,80911525,7,7,20670564
13,2,60582651,80911525,7,7,20328874
15,3,32927970,43478113,7,7,10550143
23,2,2699968,57936462,7,7,55236494
23,6,65393658,154774707,7,7,89381049
24,6,4968368,4968655,7,7,287
24,3,14898094,15027529,7,7,129435
24,2,15027529,15027529,7,7,0
5,3,75427935,78596044,6,6,3168109
5,3,146971253,154396505,6,6,7425252
8,3,182794,47759712,6,6,47576918
9,2,38615698,43861081,6,6,5245383
9,3,66457127,141071629,6,6,74614502
13,2,67800935,80911525,6,6,13110590
16,6,46565019,58757683,6,6,12192664
17,3,6115,21199499,6,6,21193384
18,3,196829,34850846,6,6,34654017
18,2,63491797,77927028,6,6,14435231
22,3,17055569,18655860,6,6,1600291
23,3,2700202,57619648,6,6,54919446
23,7,2700202,57619648,6,6,54919446
23,8,63580270,154774707,6,6,91194437
23,6,65382685,154774707,6,6,89392022
23,8,65382685,91066365,6,6,25683680
24,8,14475374,15027529,6,6,552155
1,3,248570440,249120684,5,5,550244
2,4,45895,4136145,5,5,4090250
2,2,73899613,74007345,5,5,107732
3,3,239347,81698130,5,5,81458783
3,2,361508,81698130,5,5,81336622
3,3,87100309,154034043,5,5,66933734
3,3,164733721,167078544,5,5,2344823
3,3,192053274,194118874,5,5,2065600
4,3,60345,3526786,5,5,3466441
4,2,60427,3521939,5,5,3461512
4,3,86738,3526786,5,5,3440048
4,3,3590683,3591069,5,5,386
5,2,140781,801362,5,5,660581
6,3,10814091,13182718,5,5,2368627
6,3,33561164,36936771,5,5,3375607
6,3,57254955,57512565,5,5,257610
6,3,57254955,62390916,5,5,5135961
7,3,22532917,22533397,5,5,480
9,4,154795,19576949,5,5,19422154
9,5,154795,43861081,5,5,43706286
9,1,19619509,22029547,5,5,2410038
9,4,23701276,43861081,5,5,20159805
10,1,282897,1046712,5,5,763815
10,1,89263576,90983629,5,5,1720053
11,5,27077118,30358046,5,5,3280928
11,3,43343072,48328644,5,5,4985572
11,3,48346961,48387850,5,5,40889
11,3,83878075,114284744,5,5,30406669
12,8,176120,38712142,5,5,38536022
12,3,7463398,12230938,5,5,4767540
13,3,19600475,55748673,5,5,36148198
13,2,27256728,53282749,5,5,26026021
13,3,60240961,80910792,5,5,20669831
13,3,60582651,80911525,5,5,20328874
13,3,67800935,80910792,5,5,13109857
13,4,86369120,115064542,5,5,28695422
13,2,95364337,115064542,5,5,19700205
14,2,106471547,107211211,5,5,739664
15,2,20446047,22344951,5,5,1898904
16,3,64294842,90142087,5,5,25847245
17,3,6115,21199162,5,5,21193047
17,4,6115,21198978,5,5,21192863
18,2,18983766,25616451,5,5,6632685
18,2,42529996,77894844,5,5,35364848
18,3,70417396,77927028,5,5,7509632
20,2,31108805,32891200,5,5,1782395
21,2,9826301,19713821,5,5,9887520
23,4,2699968,57936192,5,5,55236224
23,4,64722008,154721340,5,5,89999332
23,4,65247409,154507173,5,5,89259764
23,6,65382685,88009322,5,5,22626637
23,3,65393658,154721340,5,5,89327682
23,6,65393658,154721340,5,5,89327682
23,8,96197175,154774707,5,5,58577532
23,6,99661969,154774707,5,5,55112738
23,8,128957640,154774707,5,5,25817067
24,5,14898094,15029495,5,5,131401
1,2,1653028,6636461,4,4,4983433
1,2,111136611,120612234,4,4,9475623
1,3,193074651,249211350,4,4,56136699
2,3,95541381,142888376,4,4,47346995
2,1,101869588,101869588,4,4,0
2,4,144194565,159530651,4,4,15336086
2,3,159992699,168986154,4,4,8993455
2,4,170029800,171358211,4,4,1328411
2,4,175200014,182468803,4,4,7268789
2,4,188216783,203693559,4,4,15476776
3,2,239347,10189929,4,4,9950582
3,3,361508,197581147,4,4,197219639
3,3,367757,81698130,4,4,81330373
3,3,386247,81643167,4,4,81256920
3,3,386247,90276511,4,4,89890264
3,3,1215013,3886580,4,4,2671567
3,4,87100309,161221705,4,4,74121396
3,4,168546914,197483279,4,4,28936365
3,2,170198898,197619447,4,4,27420549
3,3,174814738,175345143,4,4,530405
3,8,180319981,183663833,4,4,3343852
3,8,183685534,191179303,4,4,7493769
4,3,60345,3517732,4,4,3457387
4,2,3589623,4199634,4,4,610011
4,2,3769500,26364300,4,4,22594800
4,3,139093228,190395259,4,4,51302031
5,2,6020488,13729714,4,4,7709226
5,3,49695048,180687212,4,4,130992164
5,2,66459878,68728544,4,4,2268666
5,2,72872766,180687212,4,4,107814446
5,3,79412238,145144419,4,4,65732181
5,3,102891695,180662331,4,4,77770636
6,3,57247022,57512565,4,4,265543
6,2,57254927,57512565,4,4,257638
6,3,80750290,105307435,4,4,24557145
6,5,168694594,170893364,4,4,2198770
7,3,154143443,158937375,4,4,4793932
8,2,182710,35425870,4,4,35243160
8,3,194836,36661647,4,4,36466811
8,5,194836,3566106,4,4,3371270
8,3,3807667,38369831,4,4,34562164
8,3,87552426,120596023,4,4,33043597
8,3,145660833,146171437,4,4,510604
9,1,154795,967981,4,4,813186
9,2,154795,20953049,4,4,20798254
9,2,154795,27567145,4,4,27412350
9,3,154795,21077716,4,4,20922921
9,3,154795,32384843,4,4,32230048
9,3,154795,34835861,4,4,34681066
9,2,5923326,38610441,4,4,32687115
9,3,38424344,43861081,4,4,5436737
9,3,38621995,43861081,4,4,5239086
11,3,193863,205889,4,4,12026
11,3,193863,214421,4,4,20558
11,3,193863,244197,4,4,50334
11,5,19251826,42209292,4,4,22957466
11,3,48346961,48510777,4,4,163816
11,3,57957960,58207204,4,4,249244
11,3,68658686,68705674,4,4,46988
11,3,69949327,73882260,4,4,3932933
11,3,74419357,79133220,4,4,4713863
11,3,102323160,114401577,4,4,12078417
11,3,104761100,114401577,4,4,9640477
11,3,114421895,114422003,4,4,108
11,4,114441943,134856661,4,4,20414718
12,3,235022,6836852,4,4,6601830
12,3,235022,11199734,4,4,10964712
12,3,235022,11286088,4,4,11051066
12,4,11338539,11338669,4,4,130
12,5,38715000,52967436,4,4,14252436
12,5,62104219,133796033,4,4,71691814
13,2,19600475,42481712,4,4,22881237
13,2,19600475,80910792,4,4,61310317
13,3,19600475,53608632,4,4,34008157
13,3,19600475,53617421,4,4,34016946
13,3,19600475,54615413,4,4,35014938
13,3,19600475,61988107,4,4,42387632
13,3,19751544,53602970,4,4,33851426
13,3,60240961,80911525,4,4,20670564
13,4,67800935,67802339,4,4,1404
13,2,86369120,115091809,4,4,28722689
14,2,20228302,20502120,4,4,273818
14,2,106471547,107178832,4,4,707285
15,3,22382739,102313869,4,4,79931130
16,2,33961705,34682019,4,4,720314
16,3,46552425,55363238,4,4,8810813
16,3,46565019,58767980,4,4,12202961
16,3,56362725,56904587,4,4,541862
17,2,6115,21147404,4,4,21141289
17,3,6115,20254598,4,4,20248483
17,3,6115,21147404,4,4,21141289
17,4,6115,21199162,4,4,21193047
18,2,166819,77927028,4,4,77760209
18,3,10468453,35065396,4,4,24596943
18,3,25757048,31599259,4,4,5842211
18,2,40323497,77927028,4,4,37603531
18,3,40613840,60036083,4,4,19422243
18,3,41559268,44702718,4,4,3143450
18,2,45555613,74980809,4,4,29425196
18,3,61391508,77927028,4,4,16535520
18,3,76753588,77927028,4,4,1173440
19,3,307345,24115369,4,4,23808024
19,2,21477379,23941459,4,4,2464080
19,2,29567134,59082605,4,4,29515471
19,8,37605917,41811730,4,4,4205813
20,2,76962,29652138,4,4,29575176
20,2,34783321,45130768,4,4,10347447
21,3,9825790,18885546,4,4,9059756
21,5,9825790,48064407,4,4,38238617
22,4,28293980,35799542,4,4,7505562
23,2,2699968,57619648,4,4,54919680
23,4,2700027,17819377,4,4,15119350
23,8,2700027,57619648,4,4,54919621
23,7,2700157,57619648,4,4,54919491
23,8,2715425,57619648,4,4,54904223
23,8,2724760,57619648,4,4,54894888
23,8,43591036,50658966,4,4,7067930
23,3,63557104,154774707,4,4,91217603
23,4,63557104,154774707,4,4,91217603
23,8,64754464,91456467,4,4,26702003
23,8,65242157,154774707,4,4,89532550
23,6,65247409,154774707,4,4,89527298
23,7,65247409,154774707,4,4,89527298
23,3,65382685,154774707,4,4,89392022
23,4,65382685,154774707,4,4,89392022
23,8,65382685,140994280,4,4,75611595
23,7,65393658,154721340,4,4,89327682
23,7,65393658,154774707,4,4,89381049
23,4,70148927,70823780,4,4,674853
23,8,99901428,154456747,4,4,54555319
24,8,2847254,2847254,4,4,0
24,8,4900867,4900867,4,4,0
24,5,4968368,4968655,4,4,287
24,8,4968368,15029495,4,4,10061127
24,8,13309588,15027529,4,4,1717941
24,8,14468196,15027529,4,4,559333
24,7,14898094,15029495,4,4,131401
24,8,15027529,15027529,4,4,0
24,2,21154466,21764212,4,4,609746
24,4,21154466,21764212,4,4,609746
24,8,21154466,21894633,4,4,740167
1,4,65872,1026967,3,3,961095
1,2,762273,2160390,3,3,1398117
1,2,6473222,9098742,3,3,2625520
1,1,16356497,16356583,3,3,86
1,3,47398743,113658887,3,3,66260144
1,3,61743337,120539304,3,3,58795967
1,3,111892905,112958898,3,3,1065993
1,3,114092306,116605423,3,3,2513117
1,3,248604971,249141454,3,3,536483
2,2,45895,11924950,3,3,11879055
2,4,45895,27355454,3,3,27309559
2,8,42492191,42526177,3,3,33986
2,4,95537501,242813124,3,3,147275623
2,1,101874442,102315057,3,3,440615
2,4,162017474,168812218,3,3,6794744
2,2,213886454,214233812,3,3,347358
2,4,218604247,242842568,3,3,24238321
3,3,239347,54354510,3,3,54115163
3,3,239347,81810516,3,3,81571169
3,2,361508,75986874,3,3,75625366
3,3,361508,81810516,3,3,81449008
3,3,361508,90264768,3,3,89903260
3,2,391100,81810516,3,3,81419416
3,3,391100,75386380,3,3,74995280
3,3,391100,81698130,3,3,81307030
3,3,50103917,81810516,3,3,31706599
3,4,73111368,73453325,3,3,341957
3,3,73651383,81810516,3,3,8159133
3,3,87100309,113594377,3,3,26494068
3,8,159557953,170105378,3,3,10547425
3,3,179371154,179593072,3,3,221918
3,3,186917670,197717568,3,3,10799898
3,8,195477791,197765432,3,3,2287641
4,3,53210,3519917,3,3,3466707
4,2,60157,30279719,3,3,30219562
4,3,3521939,3591069,3,3,69130
4,3,3589623,4199634,3,3,610011
4,3,4199760,30480934,3,3,26281174
4,3,36069805,129924977,3,3,93855172
