chr,category,startpos,endpos,sample_count,fragment_count,total_fragment_size_bp,region_id,ensembl_chr,hgnc_symbol,ensembl_gene_id,chromosome_name,start_position,end_position,gene_biotype,gene_name,census_genome_location,census_tier,census_hallmark,tumour_types_somatic,tumour_types_germline,cancer_syndrome,tissue_type,molecular_genetics,role_in_cancer,mutation_types,present_in_cancer_gene_census
10,3,95096,27326999,1,1,27231903,6410,10,ABI1,ENSG00000136754,10,26745266,26861094,protein_coding,abl-interactor 1,10:26746593-26860935,1,Yes,AML,NA,NA,L,Dom,"TSG, fusion",T,TRUE
9,3,66457127,132515081,1,1,66057954,5964,9,ABL1,ENSG00000097007,9,130713043,130887675,protein_coding,v-abl Abelson murine leukemia viral oncogene homolog 1,9:130713946-130885683,1,Yes,"CML, ALL, T-ALL",NA,NA,L,Dom,"oncogene, fusion","T, Mis",TRUE
1,4,145209330,232002332,1,1,86793002,2049,1,ABL2,ENSG00000143322,1,179099330,179229684,protein_coding,"c-abl oncogene 2, non-receptor tyrosine kinase",1:179099327-179229601,1,NA,AML,NA,NA,L,Dom,"oncogene, fusion",T,TRUE
2,3,86359405,242841399,1,1,156481994,2319,2,ACKR3,ENSG00000144476,2,236567692,236582358,protein_coding,atypical chemokine receptor 3,2:236569641-236582358,1,Yes,lipoma,NA,NA,M,Dom,"oncogene, fusion",T,TRUE
2,3,86359405,242841399,1,1,156481994,2319,2,ACSL3,ENSG00000123983,2,222860942,222944639,protein_coding,acyl-CoA synthetase long-chain family member 3,2:222860934-222944639,1,Yes,prostate,NA,NA,E,Dom,fusion,T,TRUE
5,3,40852451,180687212,1,1,139834761,3797,5,ACSL6,ENSG00000164398,5,131949973,132012243,protein_coding,acyl-CoA synthetase long-chain family member 6,5:131949973-132011662,2,NA,"AML, AEL",NA,NA,L,Dom,fusion,T,TRUE
2,3,45895,202712095,1,1,202666200,2232,2,ACVR1,ENSG00000115170,2,157736249,157876408,protein_coding,"activin A receptor, type I",2:157736444-157875111,1,Yes,DIPG,NA,NA,O,Dom,oncogene,Mis,TRUE
12,3,176089,133810703,1,1,133634614,7745,12,ACVR1B,ENSG00000135503,12,51951675,51997082,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
4,3,59475,134085208,1,1,134025733,3250,4,AFF1,ENSG00000172493,4,86934203,87141073,protein_coding,"AF4/FMR2 family, member 1",4:86935002-87141054,1,Yes,AL,NA,NA,L,Dom,fusion,T,TRUE
2,3,45895,202712095,1,1,202666200,2232,2,AFF3,ENSG00000144218,2,99545419,100192469,protein_coding,"AF4/FMR2 family, member 3",2:99551121-100106128,1,Yes,"ALL, T-ALL",NA,NA,L,Dom,"oncogene, fusion",T,TRUE
5,3,40852451,180687212,1,1,139834761,3797,5,AFF4,ENSG00000072364,5,132875395,132963931,protein_coding,"AF4/FMR2 family, member 4",5:132875379-132963634,1,Yes,ALL,NA,NA,L,Dom,"oncogene, fusion",T,TRUE
7,3,63033158,100549840,1,1,37516682,4925,7,AKAP9,ENSG00000127914,7,91940837,92112177,protein_coding,A kinase (PRKA) anchor protein (yotiao) 9,7:91940867-92110673,2,NA,papillary thyroid,NA,NA,E,Dom,fusion,T,TRUE
14,5,19889910,106311031,1,1,86421121,8599,14,AKT1,ENSG00000142208,14,104769348,104799934,protein_coding,v-akt murine thymoma viral oncogene homolog 1,14:104769349-104794124,1,Yes,"breast, colorectal, ovarian, NSCLC",NA,NA,E,Dom,oncogene,Mis,TRUE
19,3,29567046,41863777,1,1,12296731,11497,19,AKT2,ENSG00000105221,19,40230317,40285536,protein_coding,v-akt murine thymoma viral oncogene homolog 2,19:40230317-40285395,1,NA,"ovarian, pancreatic",NA,NA,E,Dom,oncogene,A,TRUE
12,3,176089,133810703,1,1,133634614,7745,12,ALDH2,ENSG00000111275,12,111766887,111817532,protein_coding,aldehyde dehydrogenase 2 family (mitochondrial),12:111766922-111817529,2,NA,leiomyoma,NA,NA,M,Dom,fusion,T,TRUE
2,4,45895,29447253,2,2,29401358,636,2,ALK,ENSG00000171094,2,29190995,29921586,protein_coding,anaplastic lymphoma kinase (Ki-1),2:29192774-29921566,1,Yes,"ALCL, NSCLC, neuroblastoma, inflammatory myofibroblastic tumour, Spitzoid tumour",neuroblastoma,familial neuroblastoma,"L, E, M",Dom,"oncogene, fusion","T, Mis, A",TRUE
23,3,27839617,140983031,1,1,113143414,12879,X,AMER1,ENSG00000184675,X,64185117,64205708,protein_coding,APC membrane recruitment protein 1,X:64185117-64205744,1,Yes,Wilms tumour,NA,NA,O,Rec,TSG,"F, D, N, Mis",TRUE
5,3,40852451,180687212,1,1,139834761,3797,5,APC,ENSG00000134982,5,112707452,112846239,protein_coding,adenomatous polyposis of the colon gene,5:112737888-112846239,1,Yes,"colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS","colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS",adenomatous polyposis coli; Turcot syndrome,"E, M, O",Rec,TSG,"D, Mis, N, F, S",TRUE
22,3,16157635,51219006,1,1,35061371,12379,22,APOL2,ENSG00000128335,22,36220307,36239954,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
5,3,40852451,180687212,1,1,139834761,3797,5,ARHGAP26,ENSG00000145819,5,142770343,143229011,protein_coding,Rho GTPase activating protein 26,5:142770377-143229011,1,NA,"AML, MDS",NA,NA,L,Dom,"TSG, fusion","T, F, S",TRUE
19,2,29567046,47212593,1,1,17645547,11495,19,ARHGAP35,ENSG00000160007,19,46860433,47005077,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
11,2,48510654,129784966,1,1,81274312,7352,11,ARHGEF12,ENSG00000196914,11,120336238,120489937,protein_coding,RHO guanine nucleotide exchange factor (GEF) 12 (LARG),11:120337078-120489936,1,NA,AML,NA,NA,L,Dom,"TSG, fusion",T,TRUE
1,2,69511,27320356,1,1,27250845,1611,1,ARID1A,ENSG00000117713,1,26693236,26782104,protein_coding,AT rich interactive domain 1A (SWI-like),1:26696033-26782110,1,Yes,"clear cell ovarian carcinoma, RCC, breast",NA,NA,E,Rec,"TSG, fusion","Mis, N, F, S, D, T",TRUE
6,4,292658,170892848,1,1,170600190,4263,6,ARID1B,ENSG00000049618,6,156776020,157211460,protein_coding,AT rich interactive domain 1B,6:156777374-157210779,1,NA,"breast, hepatocellular carcinoma, clear cell ovarian carcinoma",NA,NA,E,Rec,TSG,"Mis, F, N, O",TRUE
12,3,176089,133810703,1,1,133634614,7745,12,ARID2,ENSG00000189079,12,45728910,45908040,protein_coding,AT rich interactive domain 2,12:45729665-45908040,1,Yes,hepatocellular carcinoma,NA,NA,E,Rec,TSG,"N, S, F",TRUE
1,2,144052752,161136843,1,1,17084091,2031,1,ARNT,ENSG00000143437,1,150808617,150876771,protein_coding,aryl hydrocarbon receptor nuclear translocator,1:150809705-150876768,1,Yes,AML,NA,NA,L,Dom,"oncogene, TSG, fusion",T,TRUE
20,5,76962,44420682,1,1,44343720,11956,20,ASXL1,ENSG00000171456,20,32358266,32439319,protein_coding,additional sex combs like 1,20:32358330-32439319,1,Yes,"MDS, CMML",NA,NA,L,Rec,TSG,"F, N, Mis",TRUE
2,2,45895,25754235,1,1,25708340,2216,2,ASXL2,ENSG00000143970,2,25733753,25878600,protein_coding,"additional sex combs like 2, transcriptional regulator",2:25741925-25780309,2,NA,"melanoma, CCRCC, AML",NA,NA,"E, L",NA,TSG,"O,N, F",TRUE
12,3,176089,133810703,1,1,133634614,7745,12,ATF1,ENSG00000123268,12,50763710,50821162,protein_coding,activating transcription factor 1,12:50764292-50821122,1,Yes,"malignant melanoma of soft parts, angiomatoid fibrous histiocytoma",NA,NA,"E, M",Dom,"oncogene, fusion",T,TRUE
12,3,176089,133810703,1,1,133634614,7745,12,ATF7IP,ENSG00000171681,12,14365439,14502931,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
